no,classification,foodname,serving,kcal,car,pro,fat,sugars,salt,cholesterol,sfacid,tfacid
812,육류 및 그 제품,삶은 어린양 어깨 ,100,344,0,28.68,24.55,0,75,116,10.34,0
813,육류 및 그 제품,돼지고기 완자,100,172,8.9,16.7,7.7,0,0,0,0,0
814,육류 및 그 제품,채소 완자,100,165,9.3,12.9,8.5,0,0,0,0,0
815,육류 및 그 제품,3분미트볼,100,200,21,13,7,0,850,0,0,0
816,육류 및 그 제품,구운 칠면조고기,100,189,0.06,28.55,7.39,0,103,109,2.15,0
817,육류 및 그 제품,조리된 칠면조고기,100,203,0,27.37,10.4,0,78,93,2.67,0
818,육류 및 그 제품,탕수육 ,100,162,18.2,8.2,6.3,0,0,0,0,0
819,육류 및 그 제품,햄버거,100,223,12.3,13.3,13.4,0,490,0,0,0
820,육류 및 그 제품,3분햄버그스테이크,100,180,17,12,7,0,730,0,0,0
821,난류,삶은 거위알,100,179,1,12.7,13.6,0,45,0,0,0
822,난류,삶은 기러기알 ,100,206,4,13.1,14.9,0,138,0,0,0
823,난류,달걀부침(후라이) ,100,199,3.79,15.12,13.46,0.2,162,357.34,3.77,0
824,난류,수란 ,100,164,0.2,12.3,11.7,0.3,110,420,3.21,0
825,난류,스크램블드에그 ,100,149,1.61,9.99,10.98,1.39,145,277,3.33,0
826,난류,삶은 달걀 흰자,100,41,0.4,10.8,0,0,167,0,0,0
827,난류,삶은 달걀 노른자,100,353,2.1,15.5,30.5,0,32,0,0,0
828,난류,삶은 달걀 ,100,136,2.19,13.94,7.97,0.17,140,305.56,2.72,0
829,난류,삶은 메추라기알,100,167,0.1,12,13,0,137,0,0,0
830,난류,오리알 피단 ,100,166,0.5,13.4,12.2,0,850,0,0,0
831,어패류,가다랑어 내장젓 ,100,78,2,12,2,0,5900,0,0,0
832,어패류,가다랑어 통조림 ,100,157,0.3,29,4.8,0,800,0,0,0
833,어패류,반건조 가다랑어,15,55.8,11.19,1.68,0.28,0,0.9,27,0,0
834,어패류,가다랑어,100,118,0.3,25.9,1.8,0,44,0,0,0
835,어패류,튀긴 가다랑어,100,392,1.6,16.3,35.6,0,0,0,0,0
836,어패류,가다랑어(혈합육),100,58,0,8.5,2.4,0,0,0,0,0
837,어패류,가다랑어(흰살),100,72,0,12.4,2.1,0,0,0,0,0
838,어패류,건조 가다랭이,15,54.45,11.19,1.68,0.28,0,0.9,0,0,0
839,어패류,가라지,100,72,0.7,14.8,1.3,0,0,0,0,0
840,어패류,가리비 관자튀김,100,153,16.9,17.6,1,0,0,0,0,0
841,어패류,가리비 가통조림 ,100,105,4.4,21.6,0.3,0,500,0,0,0
842,어패류,가리비(관자),100,98,2.4,20.8,0.8,0,254,0,0,0
843,어패류,마른 가리비 ,100,323,4.4,77.6,0.4,0,2300,0,0,0
844,어패류,삶은 가리비,100,100,1.9,17.6,1.9,0,250,52,0.27,0
845,어패류,가리비 ,100,74,0,15.18,1.73,0.22,735,33.72,0.19,0
846,어패류,튀긴 가리비 ,100,216,10.13,18.07,10.94,0,464,54,2.67,0
847,어패류,건조 가오리 ,100,310,35.8,39.3,0.6,0,0,0,0,0
848,어패류,구운 가자미,100,144,0.2,26.6,3.3,0,240,0,0,0
849,어패류,삶은 가자미,100,114,0.2,20.8,2.7,0,160,0,0,0
850,어패류,갈치  자반,100,175,0.1,26.3,8.1,0,2056,0,0,0
851,어패류,갈치 젓 ,100,175,0,10.4,14.9,0,0,0,0,0
852,어패류,건조 갑오징어,100,315,3.2,66.8,4.7,0,0,0,0,0
853,어패류,건조 개량조개,100,258,7,54.2,2,0,0,0,0,0
854,어패류,삶은 갯가재,100,87,0.3,15.1,3,0,440,0,0,0
855,어패류,조미건조 검복 ,100,280,17.6,47.7,2.3,0,0,0,0,0
856,어패류,삶은 게르치,100,173,0,22.2,8.4,0,80,70,1.14,0
857,어패류,게살,15,45.3,0,10,0.33,0,0,0,0,0
858,어패류,게알젓,100,241,14.5,31.4,6.4,0,0,0,0,0
859,어패류,삶은 고둥,100,275,15.5,47.7,0.8,0,412,0,0,0
860,어패류,자반고등어 ,100,246,6.36,18.99,16.14,0,340,52.64,4.81,0
861,어패류,고등어 통조림 ,100,153,0.1,16.3,9.9,0,890,0,0,0
862,어패류,구운 고등어,100,318,0.4,25.2,22.4,0,120,79,5.87,0
863,어패류,건조 고등어 ,100,379,1,72.4,7.4,0,160,0,0,0
864,어패류,반건조 고등어,100,348,0.2,18.7,28.5,0,680,65,6.89,0
865,어패류,삶은 고등어 ,100,309,0.3,22.6,22.6,0,94,80,6.12,0
866,어패류,어리굴젓 ,100,92,8.1,8.6,2.7,0,2374,0,0,0
867,어패류,튀긴 굴,100,199,11.62,8.77,12.58,0,417,71,3.2,0
868,어패류,굴 통조림 ,100,81,0,14.7,2.7,0,378,0,0,0
869,어패류,굴 훈제통조림 ,100,298,5.6,13.9,24.4,0,600,0,0,0
870,어패류,꼴뚜기 양념젓,100,117,14.8,9.6,1.8,0,1687,0,0,0
871,어패류,꼴뚜기 젓 ,100,81,0.3,16,2,0,1436,0,0,0
872,어패류,꼴뚜기,100,265,1.7,51.3,6.6,0,1060,0,0,0
873,어패류,염장 꽁치 ,100,167,0.2,20.1,9.8,0,4300,0,0,0
874,어패류,꽁치 통조림 ,100,177,2.4,19,10.3,0,500,0,0,0
875,어패류,구운 꽁치 ,100,270,0.2,23.9,17.9,0,130,72,3,0
876,어패류,건조 꽁치 ,100,165,0,22.7,8.6,0,0,0,0,0
877,어패류,찐 꽃게 ,100,83,0,17.88,0.74,0,395,97,0.2,0
878,어패류,튀긴 꽃새우 ,100,242,11.47,21.39,12.28,0.8,344,138,2.09,0
879,어패류,꽃새우 장조림 ,100,234,25.8,25.9,2.6,0,0,0,0,0
880,어패류,꽃새우 젓 ,3,4.02,0.46,0.48,0.01,0,0,0,0,0
881,어패류,꽃새우,100,286,4.1,55.5,5.9,0,3500,0,0,0
882,어패류,찐 꽃새우 ,100,119,1.52,22.78,1.7,0,947,211,0.52,0
883,어패류,구운 농어 ,100,124,0,23.63,2.56,0,87,53,0.65,0
884,어패류,닭게 젓 ,100,56,0.8,12.2,0.6,0,0,0,0,0
885,어패류,삶은 닭게,100,68,0.6,16.1,0.3,0,0,0,0,0
886,어패류,영덕 대게 통조림,100,73,0.2,16.3,0.4,0,670,70,0.04,0
887,어패류,삶은 영덕 대게,100,69,0.1,15,0.6,0,240,61,0.05,0
888,어패류,대게,100,290,2,66.7,2.6,0,0,0,0,0
889,어패류,대구포,100,288,1.8,65.4,3,0,967,0,0,0
890,어패류,염장 반건조 대구 ,100,184,0,45.1,1.1,0,2792,0,0,0
891,어패류,대구 아가미젓 ,100,70,0.6,14.4,1.3,0,7439,0,0,0
892,어패류,염장 대구 ,100,84,0.1,20,0.7,0,0,0,0,0
893,어패류,대구 젓 ,100,60,0,14.7,0.4,0,2562,0,0,0
894,어패류,구운 대구,100,109,0.2,25.2,0.2,0,140,100,0.05,0
895,어패류,건조 대구,100,236,0.3,56,2,0,500,0,0,0
896,어패류,건조 대하,100,340,15.6,62.4,3.5,0,620,0,0,0
897,어패류,염장건조 도루묵  ,100,263,0.2,44.8,9.8,0,1200,0,0,0
898,어패류,둑중개 조림 ,100,302,33.8,29.4,5.5,0,1700,360,0.85,0
899,어패류,삶은 둑중개,100,122,0.2,15.8,5.8,0,90,250,1.01,0
900,어패류,조미건조 말쥐치 ,100,316,34.3,38.7,2.2,0,0,0,0,0
901,어패류,맛살 ,15,52.35,2.16,8.69,0.72,0,0,0,0,0
902,어패류,매끈이고둥 통조림 ,30,25.8,1.23,4.47,0.21,0,156.9,0,0,0
903,어패류,멸치 액젓 ,100,26,0.3,6.5,0,0,5710,0,0,0
904,어패류,멸치 육수 ,100,0,0,0.1,0,0,19,0,0,0
905,어패류,멸치 젓 ,100,158,0.6,14.1,11.2,0,11826,0,0,0
906,어패류,멸치 유지통조림 ,100,169,0,9.7,14.6,0,0,0,0,0
907,어패류,대멸치,100,279,0,59.31,5.45,0,2180,144.14,1.78,0
908,어패류,잔멸치,100,209,0.32,42.94,4.59,0,2646,433.88,1.3,0
909,어패류,중멸치,100,227,1.07,49.69,3.3,0,2377,497.29,1.31,0
910,어패류,건조 노가리 ,100,327,0.9,76.1,3.2,0,625,0,0,0
911,어패류,명란젓 ,100,118,2.7,20.5,3,0,3531,0,0,0
912,어패류,건조 북어,100,267,0,61.7,3.1,0,496,0,0,0
913,어패류,조미포,100,308,29.2,43.9,1.5,0,0,0,0,0
914,어패류,창란젓 ,100,114,8.2,12.9,3.2,0,0,0,0,0
915,어패류,코다리 ,100,100,0.1,21.7,1.7,0,208,0,0,0
916,어패류,구운 코다리,100,102,0,25.2,0.5,0,132,0,0,0
917,어패류,명태 포 ,100,342,0,82.7,2.4,0,482,0,0,0
918,어패류,건조 황태,100,345,0,80.3,3.8,0,499,0,0,0
919,어패류,황태포,100,321,2.8,79,0.4,0,438,0,0,0
920,어패류,구운 명태,100,111,0,23.48,1.18,0,419,86,0.16,0
921,어패류,구운 무지개송어,100,150,0,22.92,5.82,0,56,69,1.62,0
922,어패류,건조 문어 ,100,322,3.6,72,3.1,0,815,0,0,0
923,어패류,삶은 문어,100,99,0.1,21.7,0.7,0,230,150,0.06,0
924,어패류,문절망둑 당조림 ,30,84.3,15.06,4.44,0.39,0,1018.2,0,0,0
925,어패류,문절망둑 장조림 ,100,252,29,28.3,2.1,0,0,0,0,0
926,어패류,삶은 미꾸리 ,100,83,0,17.1,1.2,0,100,220,0.15,0
927,어패류,염장 민어 알,100,279,0,35.1,15.9,0,711,0,0,0
928,어패류,조미건조 민어 ,100,318,35.2,39.8,1.5,0,0,0,0,0
929,어패류,튀긴 민어  ,100,221,7.54,18.2,12.67,0,348,84,3.48,0
930,어패류,구운 민어,100,106,0,23.4,0.8,0,140,85,0.18,0
931,어패류,건조 민어,15,49.05,5.28,5.97,0.22,0,0,0,0,0
932,어패류,구운 바다빙어 ,100,124,0,22.6,3.1,0,77,90,0.58,0
933,어패류,건조 바다빙어,15,57.9,0,9.35,1.97,0,0,0,0,0
934,어패류,찐 바닷가재,100,82,0,16.77,1.2,0,97,133,0.18,0
935,어패류,바지락 장조림 ,100,239,29.1,24.8,2.1,0,0,0,0,0
936,어패류,바지락 젓 ,100,48,1.5,8.5,1,0,0,0,0,0
937,어패류,바지락 통조림 ,100,89,2.1,15.2,2.4,0,0,0,0,0
938,어패류,건조 바지락 ,100,320,0,74,3.7,0,0,0,0,0
939,어패류,건조 박대 ,100,123,0.9,25.6,2.2,0,837,0,0,0
940,어패류,반건조 박대 ,100,96,0.1,21.4,1.4,0,1394,0,0,0
941,어패류,방어 훈제통조림 ,100,309,0.5,27.2,22.4,0,0,0,0,0
942,어패류,구운 방어 ,100,304,0.3,26.2,20.4,0,40,89,4.87,0
943,어패류,백합(대합) 조미통조림 ,100,123,10.9,19.6,0.1,0,2100,0,0,0
944,어패류,구운 백합(대합),100,77,2.8,13.3,1,0,770,65,0.13,0
945,어패류,삶은 백합(대합),100,89,2.9,14.9,1.5,0,490,79,0.19,0
946,어패류,건조 백합,100,350,16.4,58.6,3.7,0,0,0,0,0
947,어패류,밴댕이 젓 ,100,108,0,16.4,4.9,0,0,0,0,0
948,어패류,밴댕이 ,100,282,0.5,48.2,10.3,0,0,0,0,0
949,어패류,구운 뱀장어,100,236,0,23.65,14.95,0,65,161,3.02,0
950,어패류,뱅어포,100,338,1.2,60.4,11,0,680,0,0,0
951,어패류,건조 뱅어 ,100,288,0,56.1,7.9,0,0,0,0,0
952,어패류,보라성게 알젓 ,100,143,7.3,18.3,4.5,0,0,0,0,0
953,어패류,삶은 보리새우,100,124,0,28.2,0.5,0,200,240,0.06,0
954,어패류,보말고둥 조미통조림,30,29.7,1.98,4.89,0.24,0,207,0,0,0
955,어패류,구운 보말고둥 ,100,99,1,21.8,0.3,0,450,0,0,0
956,어패류,삶은 보말고둥,100,100,5.3,18.4,0.7,0,446,0,0,0
957,어패류,구운 볼락 ,100,109,0,22.23,1.62,0,89,61,0.42,0
958,어패류,볼락,100,116,0.7,18.6,4.6,0,0,0,0,0
959,어패류,불동꼴뚜기 조림 ,100,260,22.9,27,6.7,0,1200,390,1.02,0
960,어패류,훈제조미 불동꼴뚜기  ,100,325,21.3,43.1,7.5,0,1500,930,1.15,0
961,어패류,삶은 불동꼴뚜기 ,100,104,0.4,17.7,2.9,0,240,380,0.36,0
962,어패류,구운 붕어,100,171,14.4,18,4.4,0,78,0,0,0
963,어패류,삶은 붕어,100,223,28.6,15.7,4.4,0,51,0,0,0
964,어패류,붕장어 뼈튀김 ,100,563,31.2,14.8,41.3,0,0,0,0,0
965,어패류,빙어장조림 ,100,265,27,26.7,5.1,0,0,0,0,0
966,어패류,빙어,100,175,0,34.2,4.7,0,0,0,0,0
967,어패류,삼치 젓 ,100,98,0,22.7,1.1,0,0,0,0,0
968,어패류,구운 삼치,100,202,0.1,23.6,10.8,0,90,87,2.75,0
969,어패류,새우 육젓 ,100,55,1.9,10.8,0.6,0,8791,0,0,0
970,어패류,새우 추젓 ,100,46,1.2,9.1,0.6,0,9138,0,0,0
971,어패류,새우 토굴대때기젓 ,100,52,1.7,10.1,0.6,0,8155,0,0,0
972,어패류,새우 토굴동백하젓 ,100,48,1.6,8.3,1,0,9173,0,0,0
973,어패류,새우 토굴오젓 ,100,56,2.5,10.8,0.4,0,8634,0,0,0
974,어패류,새우 토굴육젓 ,100,55,1.9,10.8,0.6,0,8791,0,0,0
975,어패류,새우 토굴추젓 ,100,45,1.5,8.9,0.5,0,8794,0,0,0
976,어패류,조미건조 새조개 ,100,295,7.9,57.9,4.1,0,0,0,0,0
977,어패류,건조 새조개 ,100,272,5.2,61.1,1.5,0,0,0,0,0
978,어패류,성게 알젓 ,100,106,13.4,9.2,1.5,0,4091,0,0,0
979,어패류,성게 젓 ,100,127,4.4,21.4,2.8,0,680,0,0,0
980,어패류,성게 가통조림 ,100,138,8.9,14,5.1,0,0,0,0,0
981,어패류,소라 통조림 ,100,123,10.9,19.6,0.1,0,0,0,0,0
982,어패류,염장 송어 ,100,219,0.8,36,8.4,0,0,0,0,0
983,어패류,송어 젓 ,100,153,0,24.8,6.3,0,4049,0,0,0
984,어패류,송어 통조림 ,100,150,0,18.2,8.8,0,750,0,0,0
985,어패류,염장건조 숭어 ,100,423,0.3,40.4,28.9,0,1400,860,2.68,0
986,어패류,구운 숭어,100,150,0,24.81,4.86,0,71,63,1.43,0
987,어패류,시바새우(중하) 젓 ,100,86,0.3,15.8,2.6,0,0,0,0,0
988,어패류,조미건조 시바새우(중하)  ,100,328,46.7,28.5,2,0,0,0,0,0
989,어패류,시바새우(중하) 통조림 ,100,92,0.6,21.5,0.7,0,540,0,0,0
990,어패류,시바새우(중하) ,100,279,2.9,54.4,6.2,0,0,0,0,0
991,어패류,아가미젓,100,70,0.6,14.4,1.3,0,7439,0,0,0
992,어패류,아미 젓 ,100,57,0.3,12,0.5,0,0,0,0,0
993,어패류,아미 조림 ,30,63.3,6.9,7.11,0.51,0,0,0,0,0
994,어패류,건조 아미,15,42,0.33,7.36,1.02,0,0,0,0,0
995,어패류,구운 애꼬치 ,100,145,0.1,23.3,4.9,0,150,83,1.36,0
996,어패류,건조 양미리 ,100,198,1.2,29.9,8.5,0,128,0,0,0
997,어패류,어단,100,142,17.7,11.8,2.3,0,749,0,0,0
998,어패류,어란젓,100,234,3.5,30.3,9.8,0,0,0,0,0
999,어패류,염장건조 연어 ,100,243,3.4,27.3,13.6,0,1246,0,0,0
1000,어패류,연어다시마조림,30,126.3,2.46,10.23,7.77,0,0,0,0,0
1001,어패류,염장 연어 ,100,137,0.3,23.2,5.1,0,2300,0,0,0
1002,어패류,연어 젓 ,100,143,0.3,21.8,5.3,0,3200,0,0,0
1003,어패류,연어 찌기절임,25,39.25,0,6.03,1.48,0,625,0,0,0
1004,어패류,훈제 연어 ,100,160,0.3,23,7.7,0,793,0,0,0
1005,어패류,연어 통조림 ,100,127,0.3,20,5.4,0,0,0,0,0
1006,어패류,구운 연어,100,198,0.1,29.3,7.9,0,830,95,1.22,0
1007,어패류,연어알 ,100,235,0.8,25,15,0,0,0,0,0
1008,어패류,오징어 내장젓 ,100,97,5,16,1.5,0,0,0,0,0
1009,어패류,오징어 당조림 ,100,298,43,22,3,0,0,0,0,0
1010,어패류,오징어 양념젓,100,125,13.3,12.3,2.3,0,2374,0,0,0
1011,어패류,오징어 젓 ,100,72,2,14.3,0.9,0,3907,0,0,0
1012,어패류,오징어 조미구이 ,100,302,26.6,40.1,3.7,0,1685,0,0,0
1013,어패류,오징어 조미포 ,100,272,0.4,63.5,2.7,0,930,0,0,0
1014,어패류,오징어 훈제조미품,100,204,12.4,34.4,2,0,1228,0,0,0
1015,어패류,구운 오징어,100,109,0.1,23.6,1,0,330,350,0.12,0
1016,어패류,건조 오징어,100,325,0.2,67.8,6.9,0,980,0,0,0
1017,어패류,삶은 오징어 ,100,103,0.3,21.2,1.3,0,310,320,0,0
1018,어패류,튀긴 오징어 ,100,175,7.79,17.94,7.48,0,306,260,1.88,0
1019,어패류,훈제 오징어,100,244,17.6,35.2,2.5,0,0,0,0,0
1020,어패류,구운 옥돔,100,119,0,22.5,2.6,0,110,89,0.58,0
1021,어패류,반건조 옥돔,100,96,0,19.5,2.3,0,0,0,0,0
1022,어패류,삶은 옥돔 ,100,125,0,20.7,4,0,91,71,0.87,0
1023,어패류,왕게 통조림 ,30,27.6,0.72,5.52,0.15,0,180,0,0,0
1024,어패류,삶은 왕게 ,100,80,0.3,17.5,0.5,0,310,53,0.05,0
1025,어패류,은어 내장젓 ,100,124,0.8,11.4,8.5,0,6900,0,0,0
1026,어패류,은어 당조림 ,30,88.5,7.92,7.59,2.55,0,0,0,0,0
1027,어패류,구운 은어 내장  ,100,194,0.4,23,10.1,0,170,230,3.26,0
1028,어패류,구운 은어 ,100,177,0.1,26.6,6.8,0,110,140,0.98,0
1029,어패류,염장 임연수어 ,100,187,0.2,17.6,13.1,0,151,0,0,0
1030,어패류,반건조 임연수어 ,100,176,0.1,20.6,9.4,0,690,86,1.99,0
1031,어패류,삶은 잉어,100,208,0.2,19.2,13.4,0,47,100,2.65,0
1032,어패류,구운 장문볼락 ,100,96,0,18.51,1.87,0,347,63,0.33,0
1033,어패류,염장건조 전갱이 ,100,243,0.7,46,6.9,0,0,0,0,0
1034,어패류,조미반건조 전갱이 ,100,168,0.1,20.2,8.8,0,670,73,2.35,0
1035,어패류,구운 조미반건조 전갱이,100,220,0.1,24.6,12.3,0,770,96,3.23,0
1036,어패류,전갱이 조미통조림 ,100,134,17.9,14.7,0.1,0,900,0,0,0
1037,어패류,구운 전갱이,100,170,0.1,25.9,6.4,0,180,94,1.57,0
1038,어패류,삶은 전갱이 ,100,151,0.1,22.4,5.9,0,130,81,1.45,0
1039,어패류,전복 젓 ,100,95,1,12.2,4.8,0,2000,0,0,0
1040,어패류,전복 조미통조림 ,100,134,17.9,14.7,0.1,0,900,0,0,0
1041,어패류,삶은 전복 통조림,100,96,7.3,16.3,0.2,0,600,0,0,0
1042,어패류,건조 전복 ,100,235,2.3,56,0.9,0,3000,0,0,0
1043,어패류,튀긴 전복,100,189,11.05,19.63,6.78,0,591,94,1.65,0
1044,어패류,전어 젓 ,100,122,0.5,15.3,6.7,0,0,0,0,0
1045,어패류,구운 점줄우럭 ,100,118,0,24.84,1.3,0,53,47,0.3,0
1046,어패류,백하젓 ,100,51,0.7,10.4,0.9,0,6200,0,0,0
1047,어패류,젓새우 조림 ,100,233,35.1,19.1,1.8,0,2700,120,0.3,0
1048,어패류,건조 젓새우,15,44.7,0.41,6.86,1.5,0,450,0,0,0
1049,어패류,염장건조 정어리  ,100,175,0.5,29.6,6.5,0,2400,0,0,0
1050,어패류,염장 정어리  ,100,142,0.2,23.3,5.7,0,0,0,0,0
1051,어패류,정어리 조미통조림 ,100,119,0.4,16.5,5.9,0,450,0,0,0
1052,어패류,정어리 토마토통조림 ,100,151,1.5,22.2,5.4,0,0,61,0,0
1053,어패류,정어리 통조림 ,100,119,0.3,19.3,4.8,0,651,0,0,0
1054,어패류,구운 정어리,100,196,0.2,25.3,9.4,0,100,80,2.53,0
1055,어패류,건조 정어리 ,100,313,0.6,45.6,14.8,0,0,0,0,0
1056,어패류,삶은 정어리,100,178,0.2,22.4,8.7,0,80,68,2.37,0
1057,어패류,정어리 ,100,113,0.2,23.1,1.6,0,1600,240,0.26,0
1058,어패류,굴비 ,100,311,0.4,44.4,15.2,0,412,0,0,0
1059,어패류,조기 젓 ,100,75,2,15.9,0.6,0,0,0,0,0
1060,어패류,게맛살 어묵 ,100,114,15.2,10.8,0.8,0,792,0,0,0
1061,어패류,배소어묵 ,30,43.5,4.68,4.62,0.51,0,0,0,0,0
1062,어패류,어묵 육수(국물),100,3,0.4,0,0.1,0,77,0,0,0
1063,어패류,찐 어묵,100,99,12.4,10.2,0.7,0,685,0,0,0
1064,어패류,튀긴 어묵 ,100,142,17.7,11.8,2.3,0,749,0,0,0
1065,어패류,어육소시지 ,100,178,17.79,9.01,7.45,0,584,20.36,2.73,0
1066,어패류,구운 어육햄,30,75.6,5.4,4.38,3.72,0,0,0,0,0
1067,어패류,찐 어육햄,30,34.5,1.35,4.2,1.2,0,0,0,0,0
1068,어패류,튀긴 어육햄,30,42.6,2.55,3.6,1.8,0,0,0,0,0
1069,어패류,어육혼합핫도그소시지 ,30,47.7,3.87,2.91,2.07,0,0,0,0,0
1070,어패류,쥐치 포,100,329,34.3,41.8,2.3,0,1504,0,0,0
1071,어패류,구운 진주담치  ,100,172,7.39,23.8,4.48,0,369,56,0.85,0
1072,어패류,참다랑어 샐러드 ,100,187,9.41,16.04,9.26,0,402,13,1.54,0
1073,어패류,참다랑어 유지통조림 ,100,182,0,22.31,10.6,0,157,42.95,0.88,0
1074,어패류,구운 참다랑어,100,184,0,29.91,6.28,0,50,49,1.61,0
1075,어패류,건조 참다랑어 ,15,48.45,0,11.07,0.18,0,0,0,0,0
1076,어패류,구운 참돔,100,210,0.1,22.7,12,0,55,91,2.88,0
1077,어패류,삶은 참돔 ,100,206,0.1,22.2,11.9,0,50,90,2.88,0
1078,어패류,염장건조 청어  ,100,89,0.6,15,3,0,480,230,0.52,0
1079,어패류,염장 청어 ,100,150,0.2,17.5,9,0,538,0,0,0
1080,어패류,훈제 청어 ,100,305,0,23.1,22.1,0,3900,86,4.53,0
1081,어패류,건조 청어,100,393,1,44.5,24,0,1300,0,0,0
1082,어패류,건조 청어 알,100,385,0.5,65.2,13.6,0,1400,1000,2.37,0
1083,어패류,청어 ,100,115,0,18.7,4.7,0,0,0,0,0
1084,어패류,건조 칠성장어,100,393,0.5,33.3,29,0,130,0,0,0
1085,어패류,삶은 크릴 ,100,104,0.4,17.7,2.9,0,240,380,0.36,0
1086,어패류,피조개 조미통조림 ,100,115,7.8,18,1.3,0,0,0,0,0
1087,어패류,조미건조 학공치 ,100,322,17.7,59.1,2,0,0,0,0,0
1088,어패류,해삼 내장젓 ,100,42,0.8,7.7,1,0,4100,0,0,0
1089,어패류,염장 해삼 ,100,34,2.4,4.9,0.5,0,6000,0,0,0
1090,어패류,해삼 젓 ,100,32,2.5,5.5,0,0,0,0,0,0
1091,어패류,건조 해삼,100,321,3,77.6,0.9,0,2842,0,0,0
1092,어패류,염장 해파리,25,8.75,0.6,1.23,0.12,0,1500,0,0,0
1093,어패류,해파리젓,100,33,2.5,5.5,0,0,0,0,0,0
1094,어패류,훈제 홍연어  ,100,161,0.1,25.7,5.5,0,1500,50,0.97,0
1095,어패류,구운 홍연어 ,100,177,0.1,28.5,6,0,72,76,1.06,0
1096,어패류,홍합(참담치) 통조림 ,100,87,1.3,15.8,2.3,0,0,0,0,0
1097,어패류,홍합(참담치),100,369,14.1,56.1,10.2,0,499,0,0,0
1098,어패류,황다랑어 통조림 ,30,33.6,0.09,6.48,0.63,0,0,0,0,0
1099,어패류,황새치 젓 ,100,116,2.7,15.7,4.8,0,7683,0,0,0
1100,어패류,구운 황새치,100,172,0,23.45,7.93,0,97,78,1.91,0
1101,해조류,건조 곰피 ,100,141,54.7,12.9,1.3,0,0,0,0,0
1102,해조류,김 ,100,179,36.5,42.3,4.7,0,258,0,0,0
